changing_var,local_exp_idx,value,training_method,avg_test_loss,spearmanr,pearsonr,final_mse
n_samples,0,16,active,0.1940697729587555,0.19821889698505402,0.2116771787405014,0.19404253363609314
n_samples,0,16,standard,0.20200630843639375,0.3023082911968231,0.31939396262168884,0.20251624286174774
n_samples,1,32,active,0.1356866993010044,0.5239610075950623,0.5628294944763184,0.13580749928951263
n_samples,1,32,standard,0.2026221403479576,0.10328520089387894,0.10465020686388016,0.20258484780788422
n_samples,2,48,active,0.14023585230112076,0.5327407121658325,0.5582404136657715,0.1407265067100525
n_samples,2,48,standard,0.16547363221645356,0.4584865868091583,0.4623519778251648,0.165602445602417
n_samples,3,64,active,0.17824208319187165,0.5205661654472351,0.5596678853034973,0.17879004776477814
n_samples,3,64,standard,0.16921995222568512,0.5165082216262817,0.532649576663971,0.17003396153450012
n_samples,4,80,active,0.1568423268198967,0.5592390894889832,0.5633649230003357,0.1576116681098938
n_samples,4,80,standard,0.18435741811990738,0.43131494522094727,0.4721245765686035,0.1847512274980545
n_samples,5,96,active,0.14527696639299392,0.5958671569824219,0.6132112145423889,0.1459847241640091
n_samples,5,96,standard,0.14171651035547256,0.5575317740440369,0.5901256203651428,0.14190109074115753
n_samples,6,112,active,0.13639350533485411,0.5768489837646484,0.5912228226661682,0.13702210783958435
n_samples,6,112,standard,0.12443233817815781,0.6245042681694031,0.6269679665565491,0.12452832609415054
n_samples,7,128,active,0.1469533796608448,0.5742347240447998,0.5845465064048767,0.14749525487422943
n_samples,7,128,standard,0.11266453325748443,0.667955756187439,0.6709251999855042,0.11288735270500183
n_samples,8,144,active,0.13149634420871734,0.6331815719604492,0.6443971991539001,0.13160137832164764
n_samples,8,144,standard,0.14082712471485137,0.582144558429718,0.6014933586120605,0.14106912910938263
n_samples,9,160,active,0.12666578084230423,0.6000500917434692,0.6169830560684204,0.1271122395992279
n_samples,9,160,standard,0.14687391310930253,0.6212766170501709,0.6071429252624512,0.14722375571727753
n_samples,10,176,active,0.1079213410615921,0.6673672795295715,0.6721195578575134,0.10815613716840744
n_samples,10,176,standard,0.13536491990089417,0.6408310532569885,0.6481306552886963,0.13579726219177246
n_samples,11,192,active,0.13101431265473365,0.6543768048286438,0.6483672261238098,0.1313857138156891
n_samples,11,192,standard,0.10972222357988358,0.6828504204750061,0.6881841421127319,0.10946684330701828
n_samples,12,208,active,0.117910196185112,0.6817085146903992,0.6691787838935852,0.11797358095645905
n_samples,12,208,standard,0.10443662986159324,0.7060956358909607,0.7113444209098816,0.10475403070449829
n_samples,13,224,active,0.11758163899183273,0.6606283187866211,0.6592033505439758,0.11774908751249313
n_samples,13,224,standard,0.11814451932907105,0.7173202037811279,0.7137043476104736,0.11824443191289902
n_samples,14,240,active,0.1173702421784401,0.6729585528373718,0.6680365800857544,0.1173030212521553
n_samples,14,240,standard,0.10490553259849549,0.6965745091438293,0.6912841796875,0.10481197386980057
n_samples,15,256,active,0.108820343837142,0.6753237843513489,0.6741765737533569,0.10907819867134094
n_samples,15,256,standard,0.11629932165145875,0.7038981318473816,0.7092337608337402,0.11636849492788315
