changing_var,local_exp_idx,value,training_method,avg_test_loss,spearmanr,pearsonr,final_mse
n_samples,0,16,active,0.1958084625005722,0.35939309000968933,0.3470076024532318,0.19649729132652283
n_samples,0,16,standard,0.20802181243896484,0.10838969796895981,0.15110450983047485,0.20795951783657074
n_samples,1,32,active,0.2646099931001663,0.4560556411743164,0.4803255796432495,0.26557067036628723
n_samples,1,32,standard,0.20383420556783677,0.32408425211906433,0.3314526677131653,0.20437343418598175
n_samples,2,48,active,0.16052294105291368,0.4895454943180084,0.5124285221099854,0.16142621636390686
n_samples,2,48,standard,0.14823910236358642,0.5340299010276794,0.5440003275871277,0.1487867832183838
n_samples,3,64,active,0.22717079937458037,0.5052756071090698,0.5603912472724915,0.22791941463947296
n_samples,3,64,standard,0.15922458499670028,0.5076887607574463,0.5357663035392761,0.15952642261981964
n_samples,4,80,active,0.19820751309394835,0.6123195886611938,0.5907281637191772,0.19844205677509308
n_samples,4,80,standard,0.172378548681736,0.45971226692199707,0.46698862314224243,0.17303666472434998
n_samples,5,96,active,0.14165784895420075,0.5776355266571045,0.5945091843605042,0.14207670092582703
n_samples,5,96,standard,0.19538307815790176,0.5527240633964539,0.5518186688423157,0.19536557793617249
n_samples,6,112,active,0.2091538965702057,0.5528156161308289,0.4383067786693573,0.20951838791370392
n_samples,6,112,standard,0.1350617527961731,0.573028564453125,0.6009083986282349,0.13526327908039093
n_samples,7,128,active,0.13778698295354844,0.6284939050674438,0.6265718340873718,0.13800010085105896
n_samples,7,128,standard,0.16263962030410767,0.542169988155365,0.5502676367759705,0.16323815286159515
n_samples,8,144,active,0.17195354849100114,0.5853181481361389,0.6147445440292358,0.17209844291210175
n_samples,8,144,standard,0.1370491676032543,0.6316986680030823,0.6384332180023193,0.13728299736976624
n_samples,9,160,active,0.17494655519723892,0.6167117357254028,0.6231266260147095,0.1751244217157364
n_samples,9,160,standard,0.1262315708398819,0.6454828381538391,0.6491643190383911,0.12684018909931183
n_samples,10,176,active,0.1283008223772049,0.6233391165733337,0.6235448122024536,0.12818044424057007
n_samples,10,176,standard,0.14706242442131043,0.5609847903251648,0.5724231004714966,0.14761990308761597
n_samples,11,192,active,0.12198623657226562,0.651655375957489,0.661308765411377,0.1222914457321167
n_samples,11,192,standard,0.1031894762814045,0.6831828355789185,0.6918573975563049,0.10342644900083542
n_samples,12,208,active,0.11436445981264115,0.6588554978370667,0.6662434935569763,0.11439119279384613
n_samples,12,208,standard,0.11152548342943192,0.669607937335968,0.6691117882728577,0.11160594969987869
n_samples,13,224,active,0.1278027653694153,0.6448683738708496,0.6541084051132202,0.12798351049423218
n_samples,13,224,standard,0.11204572200775147,0.6993592977523804,0.6894811391830444,0.11193935573101044
n_samples,14,240,active,0.1205077375471592,0.6596752405166626,0.6613922715187073,0.12062180787324905
n_samples,14,240,standard,0.12011188000440598,0.7043713331222534,0.6953762173652649,0.1206638291478157
n_samples,15,256,active,0.1167684406042099,0.6845473051071167,0.683356761932373,0.1172533705830574
n_samples,15,256,standard,0.10236705332994461,0.7046819925308228,0.7001705765724182,0.10241057723760605
