training_type,labels_or_preds,cycle_number,skewness,kurtosis,shapiro_stat,shapiro_p,jb_stat,jb_p
standard,labels,1,0.49176096865909225,-1.1471200766719623,0.9124583627977692,0.1274938135572083,1.4418565796935188,0.4863006184405707
standard,preds,1,0.4962826365701836,-1.3516941017096689,0.8797261653387012,0.03842578059222813,1.6938988291718382,0.4287207885066747
standard,labels,10,0.06539625026922952,-0.5451661735067619,0.9890153564532366,0.2469112952897516,2.244186645750571,0.32559750004578597
standard,preds,10,-0.1084768772096436,-1.011909679653253,0.96863264392333,0.0010666892432593022,7.214441700124356,0.027127132571561637
standard,labels,11,-0.06727592237589398,-0.6126594212368275,0.9897051910159314,0.2335292416525181,3.034553519474199,0.21930830369319188
standard,preds,11,0.005168254952796526,-0.7783153141374339,0.9821290576183862,0.02340375494189538,4.580720143841739,0.10123000520834513
standard,labels,12,-0.019854893892571897,-0.47081263913377835,0.9864831879935163,0.06314471169069824,1.9310944918537205,0.380774765272736
standard,preds,12,-0.08664855566864664,-1.1213680837663187,0.9578932048566665,1.752532694767826e-05,10.333914856982824,0.005701890864765822
standard,labels,13,0.05760809269416869,-0.4371162759116203,0.9917599466370906,0.28953959890615255,1.9106637216979243,0.3846844616556455
standard,preds,13,0.2228344248485997,-0.8151902662064141,0.9693493557374189,0.0001696902078989816,7.587249913411926,0.022513842050065014
standard,labels,14,0.10094804933148098,-0.5142602615048362,0.9906266805290416,0.15749062407037573,2.9923389796113518,0.22398650156672822
standard,preds,14,0.2272327543820922,-0.7800577691640433,0.9689826010352504,8.034908127915206e-05,7.718314464863252,0.021085762433721133
standard,labels,15,0.15933601137533218,-0.4547303730894141,0.9896255690900435,0.08312505848292764,3.2137997041325335,0.20050825679394083
standard,preds,15,0.22896519365024254,-0.8680987516689198,0.9672992903044532,2.5603395095956286e-05,9.727335646183786,0.007722108557011245
standard,labels,16,0.028935034824631365,-0.4300039407857006,0.9922158507477632,0.19714627477624197,2.1475472434235314,0.3417165722194137
standard,preds,16,0.025764233120808364,-0.47823528679943017,0.9878186210434055,0.029047959508060398,2.6130721924959097,0.27075630769644643
standard,labels,2,-0.370267338552367,-0.33724470412877805,0.9667485933183149,0.4148339410482288,0.9561888766930453,0.6199636458756819
standard,preds,2,0.0027073694144145208,-1.6930751946654576,0.862753966006213,0.0007937108040439495,3.5064832157600945,0.17321154849044776
standard,labels,3,0.03126999889924659,-0.6683897874441533,0.9789496480524607,0.5357234440256733,1.0534203465039,0.5905445667714887
standard,preds,3,0.1984118623267766,-1.3669802096906318,0.9103651735250323,0.0013825934831076091,3.946490781894903,0.13900499782150272
standard,labels,4,-0.1765408967861957,-0.6667879967894192,0.9759093943493271,0.24336024156580732,1.6541385722605928,0.4373290964754839
standard,preds,4,-0.20077174760197825,-1.0270101607286004,0.9584178032643629,0.0302945163215807,3.2987271090522805,0.1921721768202449
standard,labels,5,0.18914211168206863,-0.7424115867286236,0.975060237026461,0.11941953958862217,2.4400883578144947,0.2952171242659604
standard,preds,5,0.14434334222112066,-1.2320787870829921,0.9380674631690696,0.0007599004377015084,5.314393579891238,0.07014457638620944
standard,labels,6,0.24772674010801796,-0.5145530032769798,0.9849400109432707,0.3420356054824224,2.1613067993194184,0.3393737065202061
standard,preds,6,0.3190034926540355,-1.051703817178188,0.9477674539277153,0.0007897952900070039,6.068315545268891,0.04811516972785411
standard,labels,7,0.1206214531992423,-0.6591433662545665,0.9857821864756819,0.28440399566400026,2.442435785269577,0.2948708271412037
standard,preds,7,0.15445832031974221,-0.7857299486189007,0.9803333024733051,0.09783796816722348,3.4514469212288894,0.17804419720360845
standard,labels,8,0.33013695832596873,-0.29679849651301726,0.9853836978441113,0.18680770940402674,2.8580804442677348,0.23953871590828865
standard,preds,8,0.2810741506787363,-0.88015856330879,0.9657479512066051,0.002521544949446625,5.895844384841571,0.05244857084713499
standard,labels,9,-0.099318875192151,-0.6063746280489433,0.9837228029668654,0.08601144963435581,2.58986501369035,0.27391635118627017
standard,preds,9,-0.09419530296246713,-0.7282498426357735,0.9748913444613483,0.009480906859937802,3.5349818646290982,0.17076090243104625
