changing_var,local_exp_idx,value,training_method,avg_test_loss,spearmanr,pearsonr,final_mse
n_samples,0,16,active,0.1984037286043167,0.0895037651062011,0.138942152261734,0.1983800530433654
n_samples,0,16,standard,0.2226212054491043,0.0271580331027507,0.0161707159131765,0.2225194275379181
n_samples,0,16,active,0.2005904766917228,0.0764087289571762,0.094880573451519,0.2005527019500732
n_samples,0,16,standard,0.2054891422390937,-0.1601880639791488,-0.1265383809804916,0.2054348737001419
n_samples,0,16,active,0.1998173171281814,0.1414459496736526,0.1543653011322021,0.1997593641281128
n_samples,0,16,standard,0.1978248304128647,0.1215726658701896,0.1286947727203369,0.1978003978729248
n_samples,1,32,active,0.1961371350288391,0.1017678827047348,0.12173792719841,0.1961265206336975
n_samples,1,32,standard,0.1975249072909355,-0.2030424028635025,-0.1487885862588882,0.1975058317184448
n_samples,0,16,active,0.275546128153801,0.2587587535381317,0.3844681978225708,0.2756458818912506
n_samples,0,16,standard,0.2399044406414032,0.2896427512168884,0.28913748264312744,0.23986046016216278
n_samples,1,32,active,0.22338635712862015,0.353638619184494,0.42163002490997314,0.22400884330272675
n_samples,1,32,standard,0.15668577522039415,0.5011799931526184,0.503825843334198,0.15693159401416779
n_samples,2,48,active,0.19464845359325408,0.4081757366657257,0.4573231339454651,0.1950930953025818
n_samples,2,48,standard,0.16151925444602966,0.5313503742218018,0.5352985262870789,0.16151395440101624
n_samples,3,64,active,0.2872911429405212,0.40981370210647583,0.46821466088294983,0.2871759831905365
n_samples,3,64,standard,0.14003738090395929,0.5358436703681946,0.5468737483024597,0.1403602808713913
n_samples,4,80,active,0.16586073011159896,0.42840445041656494,0.47207510471343994,0.16598473489284515
n_samples,4,80,standard,0.1545033723115921,0.5204880237579346,0.5374289751052856,0.15459053218364716
n_samples,5,96,active,0.19569639682769777,0.43431392312049866,0.4991961419582367,0.19551239907741547
n_samples,5,96,standard,0.1674207079410553,0.5822425484657288,0.6012412905693054,0.16782189905643463
n_samples,6,112,active,0.2006659024953842,0.43225225806236267,0.4447454810142517,0.2012919783592224
n_samples,6,112,standard,0.1359957578778267,0.5653379559516907,0.5645769238471985,0.13661633431911469
n_samples,7,128,active,0.1561790657043457,0.4894436299800873,0.5168894529342651,0.1561703085899353
n_samples,7,128,standard,0.12453564107418061,0.6333417296409607,0.6525322794914246,0.12473499774932861
n_samples,8,144,active,0.15500994354486466,0.48677030205726624,0.510564386844635,0.1556130200624466
n_samples,8,144,standard,0.10707176998257636,0.6803696155548096,0.6861621141433716,0.10710810869932175
n_samples,9,160,active,0.2006849068403244,0.4772242307662964,0.4950791597366333,0.2015973925590515
n_samples,9,160,standard,0.10787859529256821,0.7240080237388611,0.726791262626648,0.10772928595542908
n_samples,10,176,active,0.15464667618274688,0.5475051403045654,0.5853930711746216,0.1545720100402832
n_samples,10,176,standard,0.11934781983494759,0.6631351709365845,0.6735798120498657,0.11920250952243805
n_samples,11,192,active,0.15646003752946855,0.5776782631874084,0.6174282431602478,0.15665756165981293
n_samples,11,192,standard,0.10846869215369224,0.7060549259185791,0.7032681107521057,0.10860380530357361
n_samples,12,208,active,0.1455834412574768,0.5588421821594238,0.5891098976135254,0.14582428336143494
n_samples,12,208,standard,0.12388768553733825,0.6354063153266907,0.649194061756134,0.12416960299015045
n_samples,13,224,active,0.14964212477207184,0.5230971574783325,0.5711965560913086,0.14995357394218445
n_samples,13,224,standard,0.109112948179245,0.6736900806427002,0.689864456653595,0.10928778350353241
n_samples,14,240,active,0.1599643525481224,0.5494744777679443,0.5813767313957214,0.15997201204299927
n_samples,14,240,standard,0.09563122749328613,0.7227019667625427,0.7160515189170837,0.09576168656349182
n_samples,15,256,active,0.12741185262799262,0.5860754251480103,0.621407151222229,0.12743739783763885
n_samples,15,256,standard,0.12704189330339433,0.6791171431541443,0.6861300468444824,0.1269771158695221
