changing_var,local_exp_idx,value,training_method,avg_test_loss,spearmanr,pearsonr,final_mse
n_samples,0,16,active,0.2115250810980797,0.40115609765052795,0.4017023742198944,0.2114769071340561
n_samples,0,16,standard,0.20489557772874833,0.11432931572198868,0.10256727784872055,0.20483067631721497
n_samples,1,32,active,0.18563821375370027,0.3952512741088867,0.41665130853652954,0.18566328287124634
n_samples,1,32,standard,0.19791232466697692,0.4163484275341034,0.3534562885761261,0.1976892054080963
n_samples,2,48,active,0.1721723422408104,0.39497190713882446,0.4183911681175232,0.1727551519870758
n_samples,2,48,standard,0.16061417981982232,0.49891918897628784,0.5025203824043274,0.1604584902524948
n_samples,3,64,active,0.15452507823705675,0.4493328928947449,0.48400917649269104,0.15460722148418427
n_samples,3,64,standard,0.16697716534137727,0.5384525656700134,0.5538507699966431,0.16766239702701569
n_samples,4,80,active,0.1615830284357071,0.44306865334510803,0.4869692027568817,0.16174085438251495
n_samples,4,80,standard,0.1925499653816223,0.4226124882698059,0.39787644147872925,0.19257064163684845
n_samples,5,96,active,0.1481932058930397,0.4794268310070038,0.5146440267562866,0.1483660191297531
n_samples,5,96,standard,0.120966454744339,0.6587188839912415,0.6750320196151733,0.12077375501394272
n_samples,6,112,active,0.13181746006011963,0.5446915626525879,0.5843815207481384,0.13181911408901215
n_samples,6,112,standard,0.15082850337028503,0.5584529042243958,0.555004358291626,0.15096794068813324
n_samples,7,128,active,0.1474250090122223,0.5807608962059021,0.6078422665596008,0.1472429782152176
n_samples,7,128,standard,0.13657186508178712,0.569104790687561,0.5850237607955933,0.13685470819473267
n_samples,8,144,active,0.13790135353803634,0.5845094919204712,0.614526093006134,0.137804314494133
n_samples,8,144,standard,0.13458063766360284,0.6286270022392273,0.6350245475769043,0.13453340530395508
n_samples,9,160,active,0.12759261474013328,0.6219146251678467,0.6387999653816223,0.1276206076145172
n_samples,9,160,standard,0.10762660771608352,0.688932478427887,0.6909241080284119,0.10774648934602737
n_samples,10,176,active,0.1273834703862667,0.6270541548728943,0.6469517946243286,0.12761561572551727
n_samples,10,176,standard,0.11323194906115532,0.682716965675354,0.6746183633804321,0.1136869564652443
n_samples,11,192,active,0.14393792778253556,0.6101739406585693,0.620051383972168,0.14407069981098175
n_samples,11,192,standard,0.12722913533449173,0.6154798269271851,0.6211563348770142,0.12725161015987396
n_samples,12,208,active,0.17026241719722748,0.5638774037361145,0.5575096011161804,0.17072120308876038
n_samples,12,208,standard,0.11797323897480964,0.6651581525802612,0.6566727161407471,0.11820987612009048
n_samples,13,224,active,0.12741807848215103,0.6124923229217529,0.6191839575767517,0.12765620648860931
n_samples,13,224,standard,0.11938074856996536,0.6700655221939087,0.6779101490974426,0.11956560611724854
n_samples,14,240,active,0.10993227273225785,0.6577540636062622,0.6637495756149292,0.11018535494804382
n_samples,14,240,standard,0.11298346891999245,0.6966310143470764,0.6982238292694092,0.11313382536172867
n_samples,15,256,active,0.11457315415143966,0.658987283706665,0.6738203763961792,0.11473202705383301
n_samples,15,256,standard,0.13340353220701218,0.7042363286018372,0.6827455163002014,0.13387203216552734
